time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-11-10,1347.76,1090.05,1104.17,1434018.02,1773564733.66,1296.01,direct,
2022-11-11,1306.47,1200.46,1296.01,1116988.68,1409146347.24,1285.23,direct,
2022-11-12,1289.04,1236.27,1285.23,338208.86,427130657.25,1254.95,direct,
2022-11-13,1272.09,1200.31,1254.95,348001.46,429569400.6,1219.85,direct,
2022-11-14,1288.74,1170.9,1219.85,697240.74,855858844.55,1241.39,direct,
2022-11-15,1288.55,1232.81,1241.39,575085.3,723628030.12,1252.0,direct,
2022-11-16,1266.73,1185.82,1252.0,607212.63,742289325.22,1215.24,direct,
2022-11-17,1227.03,1181.92,1215.24,472447.65,568626212.85,1199.45,direct,
2022-11-18,1231.6,1198.2,1199.45,363748.92,441193528.12,1210.98,direct,
2022-11-19,1231.29,1196.77,1210.98,190518.55,230572688.07,1216.52,direct,
2022-11-20,1225.0,1130.87,1216.52,419202.77,491708817.05,1140.47,direct,
2022-11-21,1144.37,1079.94,1140.47,888334.79,990700383.48,1105.99,direct,
2022-11-22,1140.64,1074.4,1105.99,742768.38,824490701.43,1137.75,direct,
2022-11-23,1189.1,1126.34,1137.75,645984.08,750643596.67,1183.69,direct,
2022-11-24,1215.66,1179.27,1183.69,456499.85,547060532.6,1202.96,direct,
2022-11-25,1205.7,1170.43,1202.96,333765.53,396616881.99,1198.4,direct,
2022-11-26,1233.38,1196.04,1198.4,270909.36,329190686.13,1204.94,direct,
2022-11-27,1222.51,1188.99,1204.94,220645.91,267300240.57,1193.2,direct,
2022-11-28,1198.53,1150.42,1193.2,450296.42,526904922.21,1167.3,direct,
2022-11-29,1225.87,1157.85,1167.3,476198.98,573752908.47,1215.7,direct,
2022-11-30,1309.06,1212.49,1215.7,701187.69,893091016.94,1294.92,direct,
2022-12-01,1299.63,1263.39,1294.92,434534.77,556451968.76,1276.36,direct,
2022-12-02,1297.11,1265.67,1276.36,418461.79,536043267.27,1295.61,direct,
2022-12-03,1307.27,1236.97,1295.61,312767.84,397801316.77,1241.13,direct,
2022-12-04,1286.38,1240.5,1241.13,246761.98,312004682.21,1279.89,direct,
2022-12-05,1305.5,1247.32,1279.89,460629.87,588911337.44,1259.37,direct,
2022-12-06,1274.29,1242.46,1259.37,394034.08,495067956.08,1271.38,direct,
2022-12-07,1276.71,1217.1,1271.38,404153.25,500133032.01,1231.35,direct,
2022-12-08,1291.22,1222.42,1231.35,476605.2,596851329.1,1280.28,direct,
2022-12-09,1295.62,1256.15,1280.28,411785.24,525600440.57,1262.95,direct,
2022-12-10,1282.69,1260.13,1262.95,203657.61,258333254.5,1266.34,direct,
2022-12-11,1283.59,1257.77,1266.34,226937.44,288391972.72,1263.27,direct,
2022-12-12,1278.74,1240.78,1263.27,425640.9,534501434.1,1275.37,direct,
2022-12-13,1346.51,1256.36,1275.37,602423.88,786269925.3,1320.43,direct,
2022-12-14,1350.33,1302.52,1320.43,701164.65,926900276.47,1307.5,direct,
2022-12-15,1311.34,1260.13,1307.5,599551.83,768136956.69,1266.59,direct,
2022-12-16,1279.37,1158.18,1266.59,878354.77,1065048194.1,1167.85,direct,
2022-12-17,1189.53,1162.32,1167.85,383067.08,451167227.98,1187.11,direct,
2022-12-18,1196.43,1172.99,1187.11,271189.77,321056937.95,1183.19,direct,
2022-12-19,1194.49,1152.43,1183.19,497188.38,585378897.99,1167.68,direct,
2022-12-20,1228.37,1163.29,1167.68,609536.88,735691592.34,1216.96,direct,
2022-12-21,1220.46,1204.4,1216.96,427885.37,518496302.18,1213.84,direct,
2022-12-22,1230.41,1183.8,1213.84,528262.6,637447979.92,1217.51,direct,
2022-12-23,1228.48,1213.65,1217.51,470222.71,573753835.68,1219.97,direct,
2022-12-24,1226.23,1214.24,1219.97,207378.91,252819741.33,1220.49,direct,
2022-12-25,1223.72,1199.6,1220.49,328092.18,397681859.87,1218.3,direct,
2022-12-26,1229.65,1212.89,1218.3,247202.68,301306741.79,1227.3,direct,
2022-12-27,1232.63,1202.88,1227.3,390793.16,474996198.27,1211.07,direct,
2022-12-28,1214.55,1182.48,1211.07,498553.01,596230640.27,1189.27,direct,
2022-12-29,1205.31,1186.42,1189.27,366192.7,438196328.2,1200.06,direct,
2022-12-30,1201.51,1182.25,1200.06,346823.33,413969580.77,1199.12,direct,
2022-12-31,1207.02,1191.63,1199.12,222004.25,266114942.31,1195.0,direct,
2023-01-01,1204.09,1190.52,1195.0,177271.0,212091101.2,1200.1,direct,
2023-01-02,1222.25,1192.5,1200.1,327216.37,396971135.51,1213.98,direct,
2023-01-03,1219.35,1205.08,1213.98,323873.94,392700511.47,1214.11,direct,
2023-01-04,1267.02,1212.42,1214.11,660554.73,825157843.82,1256.42,direct,
2023-01-05,1259.03,1242.51,1256.42,395462.48,494598797.89,1250.73,direct,
2023-01-06,1275.0,1236.5,1250.73,531468.47,667398617.34,1268.71,direct,
2023-01-07,1270.34,1261.21,1268.71,183266.85,231711574.14,1263.86,direct,
2023-01-08,1292.01,1258.59,1263.86,308927.99,392241837.02,1288.62,direct,
2023-01-09,1344.17,1285.01,1288.62,775693.69,1022290294.83,1320.11,direct,
2023-01-10,1346.45,1316.81,1320.11,512653.94,682508755.42,1335.42,direct,
2023-01-11,1393.42,1320.84,1335.42,558764.18,750208058.14,1388.95,direct,
2023-01-12,1436.9,1367.5,1388.95,836206.52,1173416087.03,1416.05,direct,
2023-01-13,1464.27,1401.0,1416.05,582315.27,827418332.41,1451.18,direct,
2023-01-14,1600.82,1449.52,1451.18,651867.35,1000747558.84,1550.07,direct,
2023-01-15,1566.18,1516.95,1550.07,393482.3,605354595.73,1552.71,direct,
2023-01-16,1601.54,1522.89,1552.71,546773.59,854808666.21,1577.02,direct,
2023-01-17,1606.64,1542.73,1577.02,445523.36,701015677.04,1565.15,direct,
2023-01-18,1610.01,1502.35,1565.15,761780.77,1186461141.36,1512.28,direct,
2023-01-19,1562.61,1509.86,1512.28,489405.87,750596721.84,1551.2,direct,
2023-01-20,1662.05,1542.76,1551.2,661985.34,1052523938.77,1659.02,direct,
2023-01-21,1678.11,1622.68,1659.02,551440.33,911165415.27,1626.68,direct,
2023-01-22,1661.85,1608.38,1626.68,482545.84,787251000.78,1627.79,direct,
2023-01-23,1646.52,1592.78,1627.79,536187.38,872732022.61,1626.47,direct,
2023-01-24,1641.25,1537.38,1626.47,567029.94,911498894.01,1556.12,direct,
2023-01-25,1638.48,1519.26,1556.12,724158.23,1132268819.24,1610.94,direct,
2023-01-26,1632.15,1579.46,1610.94,491078.21,789028231.13,1601.35,direct,
2023-01-27,1621.71,1553.36,1601.35,493189.56,781935987.02,1597.86,direct,
2023-01-28,1606.66,1558.63,1597.86,275543.16,436021436.43,1572.46,direct,
2023-01-29,1658.36,1566.99,1572.46,502089.89,812096302.45,1645.46,direct,
2023-01-30,1647.19,1539.51,1645.46,577546.2,917935732.64,1566.49,direct,
2023-01-31,1603.98,1561.82,1566.49,436991.03,690489010.7,1585.47,direct,
2023-02-01,1647.46,1558.29,1585.47,499248.21,797147606.94,1641.61,direct,
2023-02-02,1711.99,1630.57,1641.61,585655.08,980080354.31,1642.74,direct,
2023-02-03,1675.35,1628.58,1642.74,426503.46,704445423.97,1663.97,direct,
2023-02-04,1694.8,1646.23,1663.97,247213.27,412803098.7,1666.89,direct,
2023-02-05,1673.2,1611.8,1666.89,277758.07,456219066.62,1629.8,direct,
2023-02-06,1657.56,1607.64,1629.8,303435.45,495673231.02,1614.31,direct,
2023-02-07,1677.31,1613.44,1614.31,387245.7,637931660.04,1671.61,direct,
2023-02-08,1697.58,1631.15,1671.61,388811.42,646763538.23,1650.95,direct,
2023-02-09,1655.68,1527.63,1650.95,542952.15,867896690.84,1545.78,direct,
2023-02-10,1554.37,1496.52,1545.78,493802.96,756041189.81,1513.79,direct,
2023-02-11,1542.93,1508.54,1513.79,171058.2,260403379.72,1538.79,direct,
2023-02-12,1547.62,1495.57,1538.79,228435.36,349138047.41,1515.42,direct,
2023-02-13,1525.82,1464.59,1515.42,536302.59,800954432.79,1506.37,direct,
2023-02-14,1567.02,1494.06,1506.37,449350.95,687412621.55,1556.14,direct,
2023-02-15,1678.37,1543.35,1556.14,479383.43,772032249.88,1675.34,direct,
2023-02-16,1741.06,1634.58,1675.34,609138.06,1030465375.37,1638.41,direct,
2023-02-17,1721.57,1632.29,1638.41,449742.27,754132750.16,1694.3,direct,
2023-02-18,1710.86,1681.41,1694.3,181450.94,307506654.43,1691.98,direct,
2023-02-19,1725.04,1668.29,1691.98,299100.82,507142415.32,1681.25,direct,
2023-02-20,1719.4,1652.65,1681.25,299670.15,508356423.43,1703.53,direct,
2023-02-21,1716.4,1637.57,1703.53,393619.14,659946431.8,1659.64,direct,
2023-02-22,1665.93,1598.66,1659.64,519119.41,846194678.13,1643.28,direct,
2023-02-23,1678.49,1630.04,1643.28,422628.5,699286522.36,1650.59,direct,
2023-02-24,1664.27,1577.26,1650.59,493843.99,799273822.59,1607.86,direct,
2023-02-25,1608.73,1560.62,1607.86,222642.81,354192771.97,1594.76,direct,
2023-02-26,1648.88,1588.49,1594.76,229895.87,371839019.93,1641.47,direct,
2023-02-27,1664.42,1609.58,1641.47,365892.0,599201102.41,1633.45,direct,
2023-02-28,1647.24,1598.81,1633.45,280478.52,456485843.68,1604.71,direct,
2023-03-01,1669.0,1597.2,1604.71,351083.83,578179739.94,1665.59,direct,
2023-03-02,1677.38,1619.77,1665.59,336265.69,551927025.83,1647.77,direct,
2023-03-03,1648.9,1548.37,1647.77,455419.93,715836604.91,1569.61,direct,
2023-03-04,1577.08,1550.37,1569.61,112641.62,176475467.06,1566.92,direct,
2023-03-05,1587.46,1556.08,1566.92,176988.97,277871195.33,1564.75,direct,
2023-03-06,1582.34,1555.75,1564.75,246183.73,385747263.69,1565.91,direct,
2023-03-07,1582.88,1536.97,1565.91,344845.82,537679741.24,1561.63,direct,
2023-03-08,1570.15,1527.78,1561.63,343689.43,533803722.68,1532.6,direct,
2023-03-09,1545.34,1409.71,1532.6,573497.49,855796464.32,1437.65,direct,
2023-03-10,1438.2,1372.22,1437.65,833933.25,1175874332.49,1431.49,direct,
2023-03-11,1491.16,1417.78,1431.49,555267.83,809481849.2,1483.07,direct,
2023-03-12,1605.89,1460.07,1483.07,411778.83,628896505.51,1591.33,direct,
2023-03-13,1699.86,1571.05,1591.33,616690.37,1009582703.22,1681.01,direct,
2023-03-14,1783.34,1664.87,1681.01,688753.75,1185297782.17,1705.17,direct,
2023-03-15,1721.91,1615.53,1705.17,567381.86,946357462.39,1656.21,direct,
2023-03-16,1694.39,1638.35,1656.21,338710.86,563006840.25,1677.0,direct,
2023-03-17,1802.23,1666.0,1677.0,554269.89,961818992.47,1793.32,direct,
2023-03-18,1843.84,1753.25,1793.32,439833.57,793051388.14,1763.2,direct,
2023-03-19,1845.85,1762.62,1763.2,336614.23,607264809.62,1785.0,direct,
2023-03-20,1807.87,1729.07,1785.0,452201.95,799494603.33,1738.45,direct,
2023-03-21,1838.29,1724.38,1738.45,424932.74,761061989.02,1807.45,direct,
2023-03-22,1822.96,1717.19,1807.45,464597.07,826127727.45,1738.86,direct,
2023-03-23,1858.54,1733.86,1738.86,417373.61,749857794.99,1817.28,direct,
2023-03-24,1821.91,1728.85,1817.28,390968.48,692388082.29,1751.74,direct,
2023-03-25,1764.13,1715.84,1751.74,204691.08,357271103.53,1743.88,direct,
2023-03-26,1798.66,1741.34,1743.88,220037.43,389448245.46,1775.76,direct,
2023-03-27,1781.72,1688.56,1775.76,314790.83,545397092.89,1716.16,direct,
2023-03-28,1794.86,1703.06,1716.16,311844.14,544294327.38,1773.53,direct,
2023-03-29,1826.03,1773.32,1773.53,336014.87,605332954.59,1793.51,direct,
2023-03-30,1828.46,1764.84,1793.51,360783.42,646886411.85,1794.03,direct,
2023-03-31,1846.28,1781.63,1794.03,347679.36,631389802.21,1822.21,direct,
2023-04-01,1841.83,1811.11,1822.21,165134.71,301100633.35,1821.54,direct,
2023-04-02,1825.78,1774.44,1821.54,158638.9,286012910.07,1795.54,direct,
2023-04-03,1839.73,1764.78,1795.54,368332.85,663604964.51,1811.0,direct,
2023-04-04,1889.35,1803.18,1811.0,379324.52,703327498.69,1871.62,direct,
2023-04-05,1937.35,1865.39,1871.62,355296.51,677858151.04,1909.49,direct,
2023-04-06,1910.37,1855.02,1909.49,233931.69,439091408.11,1873.09,direct,
2023-04-07,1882.97,1844.16,1873.09,141806.78,263921571.84,1864.8,direct,
2023-04-08,1880.04,1848.68,1864.8,91822.2,171175963.89,1849.9,direct,
2023-04-09,1874.06,1827.85,1849.9,150710.07,278441777.69,1859.71,direct,
2023-04-10,1919.26,1847.92,1859.71,237347.24,446014670.29,1911.12,direct,
2023-04-11,1937.06,1883.75,1911.12,263611.05,504030459.8,1891.58,direct,
2023-04-12,1932.82,1856.13,1891.58,343635.37,652641790.0,1918.78,direct,
2023-04-13,2022.52,1901.41,1918.78,454470.0,900185811.88,2013.84,direct,
2023-04-14,2129.38,2011.42,2013.84,567751.61,1189296215.35,2101.61,direct,
2023-04-15,2112.59,2074.56,2101.61,188765.75,395920749.36,2092.42,direct,
2023-04-16,2138.72,2075.13,2092.42,208495.07,439430093.13,2120.19,direct,
2023-04-17,2120.96,2058.71,2120.19,264331.26,550856982.99,2075.87,direct,
2023-04-18,2124.06,2055.87,2075.87,243083.78,508702237.61,2104.28,direct,
2023-04-19,2105.48,1925.75,2104.28,436275.5,871335217.98,1936.48,direct,
2023-04-20,1982.26,1916.92,1936.48,335377.47,652855824.12,1943.17,direct,
2023-04-21,1956.0,1827.76,1943.17,400925.34,758708001.48,1849.16,direct,
2023-04-22,1888.45,1843.68,1849.16,130459.26,243145886.27,1874.46,direct,
2023-04-23,1882.07,1839.05,1874.46,161389.41,300202164.24,1862.42,direct,
2023-04-24,1888.97,1808.14,1862.42,309082.99,570418825.66,1842.51,direct,
2023-04-25,1877.92,1803.15,1842.51,269515.7,493852107.68,1866.48,direct,
2023-04-26,1964.56,1791.61,1866.48,475232.22,897796617.83,1866.8,direct,
2023-04-27,1939.03,1862.59,1866.8,412175.38,784236238.33,1909.41,direct,
2023-04-28,1924.61,1876.29,1909.41,222691.19,423090084.55,1892.75,direct,
2023-04-29,1918.58,1887.98,1892.75,88851.57,169047001.72,1909.22,direct,
2023-04-30,1939.31,1868.77,1909.22,165939.24,316756485.36,1870.13,direct,
2023-05-01,1887.16,1807.09,1870.13,268202.49,492872552.79,1831.54,direct,
2023-05-02,1882.03,1824.09,1831.54,198124.49,366870722.06,1871.77,direct,
2023-05-03,1916.58,1844.51,1871.77,233409.52,437601105.03,1905.9,direct,
2023-05-04,1916.41,1868.69,1905.9,166067.44,314145630.01,1878.56,direct,
2023-05-05,2000.05,1877.26,1878.56,346562.79,676182164.32,1996.34,direct,
2023-05-06,2018.91,1867.16,1996.34,257036.36,496216214.4,1901.99,direct,
2023-05-07,1939.12,1877.69,1901.99,164140.81,313672271.4,1879.53,direct,
2023-05-08,1893.1,1816.3,1879.53,343925.14,638772846.26,1853.92,direct,
2023-05-09,1862.94,1838.42,1853.92,182197.16,336685938.48,1849.03,direct,
2023-05-10,1888.01,1791.85,1849.03,313458.29,579403452.06,1842.72,direct,
2023-05-11,1842.82,1773.97,1842.72,240809.84,435094204.34,1795.53,direct,
2023-05-12,1816.26,1740.15,1795.53,257583.86,456638044.97,1804.46,direct,
